algo,pat,tim,gen,lgen
array4,bp4kx4k,0.101904,2,2
array4,bp4kx4k,0.263373,6,3
array4,bp4kx4k,0.589962,14,4
array4,bp4kx4k,1.23942,30,5
array4,bp4kx4k,2.55446,62,6
array4,bp4kx4k,5.21206,126,7
array4,bp4kx4k,10.6458,254,8
array4,bp4kx4k,22.2322,510,9
array4,bp4kx4k,45.8269,1022,10
array4,bp4kx4k,93.9629,2046,11
array4,bp4kx4k,190.316,4094,12
array4,lidka,0.0946519,2,2
array4,lidka,0.244477,6,3
array4,lidka,0.544515,14,4
array4,lidka,1.14936,30,5
array4,lidka,2.35813,62,6
array4,lidka,4.82615,126,7
array4,lidka,9.72232,254,8
array4,lidka,19.4428,510,9
array4,lidka,38.7327,1022,10
array4,lidka,77.5317,2046,11
array4,lidka,157.717,4094,12
array4,r4kx4k,0.240368,2,2
array4,r4kx4k,0.638175,6,3
array4,r4kx4k,1.34054,14,4
array4,r4kx4k,2.54325,30,5
array4,r4kx4k,4.66246,62,6
array4,r4kx4k,8.49448,126,7
array4,r4kx4k,15.4704,254,8
array4,r4kx4k,28.476,510,9
array4,r4kx4k,52.8488,1022,10
array4,r4kx4k,99.4436,2046,11
array4,r4kx4k,189.631,4094,12
avx23,bp4kx4k,0.00207686,2,2
avx23,bp4kx4k,0.0037148,6,3
avx23,bp4kx4k,0.00690293,14,4
avx23,bp4kx4k,0.013319,30,5
avx23,bp4kx4k,0.0257452,62,6
avx23,bp4kx4k,0.0525541,126,7
avx23,bp4kx4k,0.103125,254,8
avx23,bp4kx4k,0.200969,510,9
avx23,bp4kx4k,0.418859,1022,10
avx23,bp4kx4k,0.827453,2046,11
avx23,bp4kx4k,1.65999,4094,12
avx23,bp4kx4k,3.30349,8190,13
avx23,bp4kx4k,6.56435,16382,14
avx23,bp4kx4k,12.9731,32766,15
avx23,bp4kx4k,25.6581,65534,16
avx23,bp4kx4k,51.2944,131070,17
avx23,bp4kx4k,101.786,262142,18
avx23,bp4kx4k,210.066,524286,19
avx23,lidka,0.00253391,2,2
avx23,lidka,0.00448799,6,3
avx23,lidka,0.00804114,14,4
avx23,lidka,0.01511,30,5
avx23,lidka,0.028445,62,6
avx23,lidka,0.0549731,126,7
avx23,lidka,0.108112,254,8
avx23,lidka,0.215579,510,9
avx23,lidka,0.436395,1022,10
avx23,lidka,0.875028,2046,11
avx23,lidka,1.75071,4094,12
avx23,lidka,3.47569,8190,13
avx23,lidka,6.93458,16382,14
avx23,lidka,13.9492,32766,15
avx23,lidka,27.8963,65534,16
avx23,lidka,56.9719,131070,17
avx23,lidka,114.08,262142,18
avx23,lidka,228.062,524286,19
avx23,r4kx4k,0.00211215,2,2
avx23,r4kx4k,0.00376606,6,3
avx23,r4kx4k,0.006845,14,4
avx23,r4kx4k,0.013026,30,5
avx23,r4kx4k,0.0253191,62,6
avx23,r4kx4k,0.049228,126,7
avx23,r4kx4k,0.096607,254,8
avx23,r4kx4k,0.193372,510,9
avx23,r4kx4k,0.384846,1022,10
avx23,r4kx4k,0.781955,2046,11
avx23,r4kx4k,1.57065,4094,12
avx23,r4kx4k,3.14432,8190,13
avx23,r4kx4k,6.37206,16382,14
avx23,r4kx4k,12.7316,32766,15
avx23,r4kx4k,25.4888,65534,16
avx23,r4kx4k,51.2662,131070,17
avx23,r4kx4k,102.954,262142,18
avx23,r4kx4k,204.266,524286,19
bitpar3,bp4kx4k,0.00348306,2,2
bitpar3,bp4kx4k,0.00833011,6,3
bitpar3,bp4kx4k,0.018142,14,4
bitpar3,bp4kx4k,0.036474,30,5
bitpar3,bp4kx4k,0.074559,62,6
bitpar3,bp4kx4k,0.14784,126,7
bitpar3,bp4kx4k,0.294278,254,8
bitpar3,bp4kx4k,0.593693,510,9
bitpar3,bp4kx4k,1.19307,1022,10
bitpar3,bp4kx4k,2.37946,2046,11
bitpar3,bp4kx4k,4.80957,4094,12
bitpar3,bp4kx4k,9.80551,8190,13
bitpar3,bp4kx4k,19.5375,16382,14
bitpar3,bp4kx4k,39.1603,32766,15
bitpar3,bp4kx4k,78.0177,65534,16
bitpar3,bp4kx4k,155.072,131070,17
bitpar3,lidka,0.00352502,2,2
bitpar3,lidka,0.008425,6,3
bitpar3,lidka,0.0176189,14,4
bitpar3,lidka,0.038311,30,5
bitpar3,lidka,0.0775499,62,6
bitpar3,lidka,0.152137,126,7
bitpar3,lidka,0.299871,254,8
bitpar3,lidka,0.600935,510,9
bitpar3,lidka,1.20264,1022,10
bitpar3,lidka,2.40347,2046,11
bitpar3,lidka,4.79483,4094,12
bitpar3,lidka,9.62149,8190,13
bitpar3,lidka,19.2584,16382,14
bitpar3,lidka,38.7617,32766,15
bitpar3,lidka,77.0856,65534,16
bitpar3,lidka,153.869,131070,17
bitpar3,r4kx4k,0.00347996,2,2
bitpar3,r4kx4k,0.00804687,6,3
bitpar3,r4kx4k,0.0171559,14,4
bitpar3,r4kx4k,0.0355,30,5
bitpar3,r4kx4k,0.0718019,62,6
bitpar3,r4kx4k,0.144996,126,7
bitpar3,r4kx4k,0.29151,254,8
bitpar3,r4kx4k,0.583118,510,9
bitpar3,r4kx4k,1.18068,1022,10
bitpar3,r4kx4k,2.37742,2046,11
bitpar3,r4kx4k,4.76271,4094,12
bitpar3,r4kx4k,9.59309,8190,13
bitpar3,r4kx4k,19.0734,16382,14
bitpar3,r4kx4k,38.0683,32766,15
bitpar3,r4kx4k,76.3885,65534,16
bitpar3,r4kx4k,153.165,131070,17
hlife,QGC1,0.0116661,2,2
hlife,QGC1,0.019516,6,3
hlife,QGC1,0.02795,14,4
hlife,QGC1,0.040313,30,5
hlife,QGC1,0.0721071,62,6
hlife,QGC1,0.132291,126,7
hlife,QGC1,0.218039,254,8
hlife,QGC1,0.4071,510,9
hlife,QGC1,0.770912,1022,10
hlife,QGC1,1.33245,2046,11
hlife,QGC1,2.50616,4094,12
hlife,QGC1,4.70698,8190,13
hlife,QGC1,9.0068,16382,14
hlife,QGC1,17.8735,32766,15
hlife,QGC1,34.2808,65534,16
hlife,QGC1,67.8962,131070,17
hlife,QGC1,134.409,262142,18
hlife,bp4kx4k,0.011518,2,2
hlife,bp4kx4k,0.0167801,6,3
hlife,bp4kx4k,0.0222602,14,4
hlife,bp4kx4k,0.0282102,30,5
hlife,bp4kx4k,0.0347691,62,6
hlife,bp4kx4k,0.046838,126,7
hlife,bp4kx4k,0.055778,254,8
hlife,bp4kx4k,0.0658751,510,9
hlife,bp4kx4k,0.075953,1022,10
hlife,bp4kx4k,0.0857852,2046,11
hlife,bp4kx4k,0.0955951,4094,12
hlife,bp4kx4k,0.0959482,8190,13
hlife,bp4kx4k,0.0962472,16382,14
hlife,bp4kx4k,0.0965452,32766,15
hlife,bp4kx4k,0.0968442,65534,16
hlife,bp4kx4k,0.097141,131070,17
hlife,bp4kx4k,0.0974391,262142,18
hlife,bp4kx4k,0.0977371,524286,19
hlife,bp4kx4k,0.0980351,1048574,20
hlife,bp4kx4k,0.0983341,2097150,21
hlife,bp4kx4k,0.0986321,4194302,22
hlife,bp4kx4k,0.098932,8388606,23
hlife,bp4kx4k,0.099231,16777214,24
hlife,bp4kx4k,0.0995302,33554430,25
hlife,bp4kx4k,0.0998292,67108862,26
hlife,bp4kx4k,0.100128,134217726,27
hlife,bp4kx4k,0.10043,268435454,28
hlife,bp4kx4k,0.100755,536870910,29
hlife,bp4kx4k,0.101056,1073741822,30
hlife,breeder,0.000687122,2,2
hlife,breeder,0.00116515,6,3
hlife,breeder,0.00200891,14,4
hlife,breeder,0.00325298,30,5
hlife,breeder,0.00587988,62,6
hlife,breeder,0.0101511,126,7
hlife,breeder,0.0123911,254,8
hlife,breeder,0.0170882,510,9
hlife,breeder,0.0195181,1022,10
hlife,breeder,0.0218971,2046,11
hlife,breeder,0.0220332,4094,12
hlife,breeder,0.0222232,8190,13
hlife,breeder,0.0223711,16382,14
hlife,breeder,0.0225921,32766,15
hlife,breeder,0.0228062,65534,16
hlife,breeder,0.0229831,131070,17
hlife,breeder,0.0231791,262142,18
hlife,breeder,0.0233541,524286,19
hlife,breeder,0.023566,1048574,20
hlife,breeder,0.023756,2097150,21
hlife,breeder,0.0239811,4194302,22
hlife,breeder,0.0242052,8388606,23
hlife,breeder,0.0244591,16777214,24
hlife,breeder,0.024683,33554430,25
hlife,breeder,0.0249412,67108862,26
hlife,breeder,0.0251791,134217726,27
hlife,breeder,0.0254591,268435454,28
hlife,breeder,0.0257061,536870910,29
hlife,breeder,0.0259881,1073741822,30
hlife,caterpillar,0.990831,2,2
hlife,caterpillar,1.62914,6,3
hlife,caterpillar,2.34597,14,4
hlife,caterpillar,3.46352,30,5
hlife,caterpillar,4.8225,62,6
hlife,caterpillar,7.52532,126,7
hlife,caterpillar,11.6076,254,8
hlife,caterpillar,17.764,510,9
hlife,caterpillar,29.3972,1022,10
hlife,caterpillar,47.6372,2046,11
hlife,caterpillar,76.0831,4094,12
hlife,caterpillar,114.611,8190,13
hlife,caterpillar,164.676,16382,14
hlife,jagged,0.000153065,2,2
hlife,jagged,0.000266075,6,3
hlife,jagged,0.000434875,14,4
hlife,jagged,0.000737906,30,5
hlife,jagged,0.00116801,62,6
hlife,jagged,0.00204587,126,7
hlife,jagged,0.0029819,254,8
hlife,jagged,0.00409794,510,9
hlife,jagged,0.00507903,1022,10
hlife,jagged,0.00621986,2046,11
hlife,jagged,0.00962806,4094,12
hlife,jagged,0.0133009,8190,13
hlife,jagged,0.0228789,16382,14
hlife,jagged,0.037353,32766,15
hlife,jagged,0.05897,65534,16
hlife,jagged,0.111763,131070,17
hlife,jagged,0.188862,262142,18
hlife,jagged,0.360612,524286,19
hlife,jagged,0.731119,1048574,20
hlife,jagged,1.3488,2097150,21
hlife,jagged,2.70244,4194302,22
hlife,jagged,4.47379,8388606,23
hlife,jagged,9.13148,16777214,24
hlife,jagged,18.0723,33554430,25
hlife,jagged,38.1551,67108862,26
hlife,jagged,108.147,134217726,27
hlife,jagged,337.893,268435454,28
hlife,lidka,6.10352e-05,2,2
hlife,lidka,8.10623e-05,6,3
hlife,lidka,0.000101089,14,4
hlife,lidka,0.000127077,30,5
hlife,lidka,0.000203133,62,6
hlife,lidka,0.000571012,126,7
hlife,lidka,0.00134706,254,8
hlife,lidka,0.00307512,510,9
hlife,lidka,0.00650406,1022,10
hlife,lidka,0.0201831,2046,11
hlife,lidka,0.0481281,4094,12
hlife,lidka,0.082005,8190,13
hlife,lidka,0.164995,16382,14
hlife,lidka,0.330663,32766,15
hlife,lidka,0.330871,65534,16
hlife,lidka,0.330993,131070,17
hlife,lidka,0.331104,262142,18
hlife,lidka,0.331208,524286,19
hlife,lidka,0.331312,1048574,20
hlife,lidka,0.331418,2097150,21
hlife,lidka,0.331521,4194302,22
hlife,lidka,0.331628,8388606,23
hlife,lidka,0.331721,16777214,24
hlife,lidka,0.331817,33554430,25
hlife,lidka,0.331913,67108862,26
hlife,lidka,0.332009,134217726,27
hlife,lidka,0.332105,268435454,28
hlife,lidka,0.332226,536870910,29
hlife,lidka,0.332326,1073741822,30
hlife,mcc,9.89437e-05,2,2
hlife,mcc,0.000161886,6,3
hlife,mcc,0.00028801,14,4
hlife,mcc,0.000509977,30,5
hlife,mcc,0.000952959,62,6
hlife,mcc,0.00204587,126,7
hlife,mcc,0.00465488,254,8
hlife,mcc,0.0142319,510,9
hlife,mcc,0.041924,1022,10
hlife,mcc,0.099874,2046,11
hlife,mcc,0.131241,4094,12
hlife,mcc,0.152086,8190,13
hlife,mcc,0.172194,16382,14
hlife,mcc,0.193149,32766,15
hlife,mcc,0.214396,65534,16
hlife,mcc,0.241433,131070,17
hlife,mcc,0.256944,262142,18
hlife,mcc,0.404928,524286,19
hlife,mcc,0.611819,1048574,20
hlife,mcc,0.633426,2097150,21
hlife,mcc,0.650587,4194302,22
hlife,mcc,0.670613,8388606,23
hlife,mcc,0.698157,16777214,24
hlife,mcc,0.73486,33554430,25
hlife,mcc,0.782059,67108862,26
hlife,mcc,1.13549,134217726,27
hlife,mcc,1.24978,268435454,28
hlife,mcc,1.44161,536870910,29
hlife,mcc,1.70379,1073741822,30
hlife,r4kx4k,0.661853,2,2
hlife,r4kx4k,1.4343,6,3
hlife,r4kx4k,2.2911,14,4
hlife,r4kx4k,4.15886,30,5
hlife,r4kx4k,6.83866,62,6
hlife,r4kx4k,12.1424,126,7
hlife,r4kx4k,20.8989,254,8
hlife,r4kx4k,32.5291,510,9
hlife,r4kx4k,47.5875,1022,10
hlife,r4kx4k,67.3537,2046,11
hlife,r4kx4k,81.1729,4094,12
hlife,r4kx4k,85.6159,8190,13
hlife,r4kx4k,86.4171,16382,14
hlife,r4kx4k,86.433,32766,15
hlife,r4kx4k,86.4479,65534,16
hlife,r4kx4k,86.4623,131070,17
hlife,r4kx4k,86.4763,262142,18
hlife,r4kx4k,86.4906,524286,19
hlife,r4kx4k,86.5045,1048574,20
hlife,r4kx4k,86.5195,2097150,21
hlife,r4kx4k,86.5337,4194302,22
hlife,r4kx4k,86.5477,8388606,23
hlife,r4kx4k,86.5617,16777214,24
hlife,r4kx4k,86.5756,33554430,25
hlife,r4kx4k,86.5896,67108862,26
hlife,r4kx4k,86.6037,134217726,27
hlife,r4kx4k,86.6193,268435454,28
hlife,r4kx4k,86.6338,536870910,29
hlife,r4kx4k,86.6479,1073741822,30
hlife,spiral,0.00366998,2,2
hlife,spiral,0.00643706,6,3
hlife,spiral,0.00956511,14,4
hlife,spiral,0.0158601,30,5
hlife,spiral,0.02545,62,6
hlife,spiral,0.0381942,126,7
hlife,spiral,0.0700212,254,8
hlife,spiral,0.130778,510,9
hlife,spiral,0.222112,1022,10
hlife,spiral,0.414519,2046,11
hlife,spiral,0.806173,4094,12
hlife,spiral,1.55782,8190,13
hlife,spiral,2.80777,16382,14
hlife,spiral,5.32142,32766,15
hlife,spiral,10.3805,65534,16
hlife,spiral,20.4755,131070,17
hlife,spiral,39.6299,262142,18
hlife,spiral,77.543,524286,19
hlife,spiral,154.393,1048574,20
hlife,unlim,7.10487e-05,2,2
hlife,unlim,0.000102997,6,3
hlife,unlim,0.000138998,14,4
hlife,unlim,0.000187874,30,5
hlife,unlim,0.000319958,62,6
hlife,unlim,0.000780821,126,7
hlife,unlim,0.00186896,254,8
hlife,unlim,0.00928497,510,9
hlife,unlim,0.029207,1022,10
hlife,unlim,0.0900631,2046,11
hlife,unlim,0.11329,4094,12
hlife,unlim,0.354841,8190,13
hlife,unlim,0.541893,16382,14
hlife,unlim,1.00732,32766,15
hlife,unlim,1.82386,65534,16
hlife,unlim,3.19771,131070,17
hlife,unlim,5.67569,262142,18
hlife,unlim,10.1388,524286,19
hlife,unlim,18.2314,1048574,20
hlife,unlim,33.7873,2097150,21
hlife,unlim,63.2254,4194302,22
hlife,unlim,145.168,8388606,23
lifelib,QGC1,0.014318,2,2
lifelib,QGC1,0.028218,6,3
lifelib,QGC1,0.050035,14,4
lifelib,QGC1,0.067409,30,5
lifelib,QGC1,0.0955031,62,6
lifelib,QGC1,0.153128,126,7
lifelib,QGC1,0.279076,254,8
lifelib,QGC1,0.468389,510,9
lifelib,QGC1,0.861669,1022,10
lifelib,QGC1,1.8534,2046,11
lifelib,QGC1,3.29026,4094,12
lifelib,QGC1,6.70779,8190,13
lifelib,QGC1,13.2834,16382,14
lifelib,QGC1,26.7042,32766,15
lifelib,QGC1,58.9362,65534,16
lifelib,QGC1,117.62,131070,17
lifelib,QGC1,238.628,262142,18
lifelib,bp4kx4k,0.00473118,2,2
lifelib,bp4kx4k,0.00914598,6,3
lifelib,bp4kx4k,0.0135062,14,4
lifelib,bp4kx4k,0.017446,30,5
lifelib,bp4kx4k,0.0214691,62,6
lifelib,bp4kx4k,0.026499,126,7
lifelib,bp4kx4k,0.0300441,254,8
lifelib,bp4kx4k,0.03175,510,9
lifelib,bp4kx4k,0.032284,1022,10
lifelib,bp4kx4k,0.0324352,2046,11
lifelib,bp4kx4k,0.0324891,4094,12
lifelib,bp4kx4k,0.0325181,8190,13
lifelib,bp4kx4k,0.032542,16382,14
lifelib,bp4kx4k,0.0325651,32766,15
lifelib,bp4kx4k,0.0325871,65534,16
lifelib,bp4kx4k,0.032609,131070,17
lifelib,bp4kx4k,0.0326312,262142,18
lifelib,bp4kx4k,0.0326531,524286,19
lifelib,bp4kx4k,0.032676,1048574,20
lifelib,bp4kx4k,0.0326991,2097150,21
lifelib,bp4kx4k,0.032721,4194302,22
lifelib,bp4kx4k,0.0327451,8388606,23
lifelib,bp4kx4k,0.032768,16777214,24
lifelib,bp4kx4k,0.0327921,33554430,25
lifelib,bp4kx4k,0.032815,67108862,26
lifelib,bp4kx4k,0.03284,134217726,27
lifelib,bp4kx4k,0.0328641,268435454,28
lifelib,bp4kx4k,0.0328891,536870910,29
lifelib,bp4kx4k,0.032913,1073741822,30
lifelib,breeder,0.000336885,2,2
lifelib,breeder,0.000604868,6,3
lifelib,breeder,0.000895977,14,4
lifelib,breeder,0.00122786,30,5
lifelib,breeder,0.0018959,62,6
lifelib,breeder,0.00216484,126,7
lifelib,breeder,0.00233984,254,8
lifelib,breeder,0.00253487,510,9
lifelib,breeder,0.00271583,1022,10
lifelib,breeder,0.00288296,2046,11
lifelib,breeder,0.00306082,4094,12
lifelib,breeder,0.00326085,8190,13
lifelib,breeder,0.00346088,16382,14
lifelib,breeder,0.003654,32766,15
lifelib,breeder,0.00384283,65534,16
lifelib,breeder,0.00402999,131070,17
lifelib,breeder,0.00421286,262142,18
lifelib,breeder,0.00439692,524286,19
lifelib,breeder,0.00458097,1048574,20
lifelib,breeder,0.004848,2097150,21
lifelib,breeder,0.00507784,4194302,22
lifelib,breeder,0.00526881,8388606,23
lifelib,breeder,0.00547194,16777214,24
